Models,NSE
RF,0.9894949827396066
RF,0.9887406329297799
RF,0.9958230512442405
RF,0.9900400070933553
RF,0.9962605246938037
RF,0.9966997643024122
RF,0.9924048936745653
RF,0.9937307156905584
RF,0.9958708398287338
RF,0.9741661685866868
GB,0.998389880737947
GB,0.9985515161092205
GB,0.9990237549126555
GB,0.9986051945274237
GB,0.9989824723816544
GB,0.9987257264075616
GB,0.9985877522365104
GB,0.9988855602818232
GB,0.9988436782899942
GB,0.9982744705216441
MLP,0.9848362099677701
MLP,0.9749794443320796
MLP,0.9779895603648464
MLP,0.9788977094388082
MLP,0.9823315025200473
MLP,0.9493418145603087
MLP,0.9823011436964397
MLP,0.9712485392311521
MLP,0.9756921906648701
MLP,0.9383666355103418
Lasso,0.9501625014969289
Lasso,0.9319813614505015
Lasso,0.9579573030640924
Lasso,0.944043081654566
Lasso,0.9446746450503156
Lasso,0.9150213621325894
Lasso,0.9236623969889168
Lasso,0.9335795528836539
Lasso,0.9145499371000018
Lasso,0.9050332275209515
